STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.30,7.40,6.80,121.00,1.70,0.40,11633.00,18125.00,2014.00
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,29.20,6.90,7.00,620.00,1.10,0.10,3500.00,6300.00,2014.00
3189,RIVER CHAPORA AT SIOLIM,GOA,30.00,6.00,7.50,72.00,1.60,0.20,4995.00,9517.00,2014.00
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,29.00,7.30,7.00,247.00,1.50,0.20,1095.00,2453.00,2014.00
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.10,7.30,7.00,188.00,1.00,0.10,1286.00,3048.00,2014.00
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.70,7.00,6.90,224.00,1.20,0.30,3896.00,6742.00,2014.00
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,28.70,7.30,6.70,144.00,1.50,0.10,1940.00,3052.00,2014.00
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.50,5.30,6.80,319.00,1.80,0.30,6458.00,10250.00,2014.00
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,29.00,6.30,6.40,79.00,1.60,1.40,7592.00,12842.00,2014.00
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.40,5.40,7.60,39.00,1.40,0.10,3176.00,6367.00,2014.00
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.30,2.20,6.50,322.00,4.70,1.20,11210.00,14920.00,2014.00
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.10,5.20,7.10,192.00,2.60,0.30,5073.00,8925.00,2014.00
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.30,5.60,7.50,282.00,1.80,0.10,3205.00,5082.00,2014.00
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.50,5.50,7.40,275.00,1.50,0.10,4698.00,8625.00,2014.00
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,29.10,7.30,6.70,55.00,1.40,0.10,2638.00,4003.00,2014.00
3188,RIVER TIRACOL AT TIRACOL,GOA,30.10,6.50,7.50,415.00,2.00,0.10,864.00,1538.00,2014.00
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29.20,7.20,6.30,100.00,1.50,0.10,7942.00,13575.00,2014.00
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,25.10,6.60,7.80,95.00,4.90,0.20,16.00,36.00,2014.00
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.60,6.90,7.90,99.00,5.00,0.40,15.00,34.00,2014.00
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.40,6.80,7.70,85.00,5.20,0.30,11.00,23.00,2014.00
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.80,6.70,7.80,80.00,4.90,0.30,12.00,29.00,2014.00
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,30.60,5.10,7.30,3937.00,10.30,1.80,31.00,83.00,2014.00
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,25.00,5.60,7.90,468.00,3.60,1.90,66.00,164.00,2014.00
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,25.00,6.40,7.60,541.00,5.70,0.60,23.00,45.00,2014.00
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25.00,5.50,7.40,6166.00,7.70,1.10,44.00,67.00,2014.00
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25.30,5.30,7.70,24062.00,9.90,1.20,156.00,304.00,2014.00
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,25.10,6.70,7.60,83.00,4.80,0.20,28.00,76.00,2014.00
2168,MITHI RIVER,MAHARASHTRA,26.10,3.60,7.40,4424.00,31.30,2.20,276.00,474.00,2014.00
2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,21.40,7.20,7.70,226.00,3.10,0.80,NAN,130.00,2014.00
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,27.40,5.90,7.40,268.00,6.40,0.40,37.00,68.00,2014.00
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.10,5.40,7.50,2413.00,7.40,1.50,59.00,116.00,2014.00
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,27.20,5.80,7.30,384.00,5.40,0.60,37.00,78.00,2014.00
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,27.30,5.90,7.40,269.00,5.10,1.20,34.00,60.00,2014.00
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,27.00,6.00,7.30,269.00,8.50,0.40,32.00,58.00,2014.00
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,27.20,6.10,7.30,196.00,6.10,0.50,30.00,63.00,2014.00
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,27.00,5.90,7.40,269.00,6.40,0.40,19.00,47.00,2014.00
2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,22.60,6.30,7.80,223.00,4.60,0.90,15.00,32.00,2014.00
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,28.40,6.70,7.30,9293.00,3.50,1.80,NAN,0.00,2014.00
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28.00,6.80,7.20,170.00,3.10,1.40,NAN,0.00,2014.00
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,27.60,6.80,7.30,4175.00,3.30,1.60,NAN,0.00,2014.00
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,27.90,6.90,7.30,4282.00,3.30,1.60,NAN,0.00,2014.00
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.10,6.90,7.30,5551.00,3.40,1.70,NAN,0.00,2014.00
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.10,6.80,7.90,5390.00,4.90,0.80,15.00,28.00,2014.00
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.60,6.60,8.10,161.00,4.60,0.30,16.00,32.00,2014.00
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.30,6.70,8.00,138.00,5.00,0.30,14.00,33.00,2014.00
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.80,6.70,7.80,81.00,4.90,0.30,14.00,35.00,2014.00
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28.00,5.90,7.70,194.00,5.50,0.60,22.00,51.00,2014.00
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.10,6.30,7.60,186.00,4.60,0.60,13.00,31.00,2014.00
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.60,6.60,7.60,207.00,4.70,0.70,12.00,31.00,2014.00
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.90,6.80,7.70,85.00,5.00,0.40,15.00,34.00,2014.00
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23.00,7.10,7.40,176.00,2.70,0.90,NAN,30.00,2014.00
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23.00,7.00,7.40,178.00,2.70,0.90,NAN,40.00,2014.00
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23.00,7.20,7.20,180.00,2.70,1.00,NAN,70.00,2014.00
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,25.10,6.70,7.50,85.00,1.40,1.00,183.00,420.00,2014.00
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.60,5.80,7.40,77.00,1.40,0.80,285.00,691.00,2014.00
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.70,6.60,7.50,75.00,1.40,0.70,183.00,448.00,2014.00
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.80,6.70,7.50,82.00,1.40,1.00,161.00,443.00,2014.00
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.30,6.70,6.90,56.00,0.90,0.20,82.00,172.00,2014.00
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.50,6.50,6.70,2240.00,1.20,0.20,136.00,304.00,2014.00
2286,R AYROOR AT AYROOR BRIDGE,KERALA,25.20,6.30,6.90,73.00,1.60,0.00,787.00,2008.00,2014.00
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,29.90,7.00,7.40,130.00,0.70,0.10,301.00,590.00,2014.00
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.80,6.60,7.70,191.00,1.60,0.20,362.00,661.00,2014.00
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.80,6.90,6.90,134.00,1.10,0.40,249.00,531.00,2014.00
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,26.70,7.00,7.50,80.00,0.80,0.40,2573.00,3583.00,2014.00
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.80,6.70,7.40,14526.00,0.80,0.60,1411.00,1969.00,2014.00
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.40,7.20,7.40,82.00,0.70,0.50,840.00,1311.00,2014.00
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,29.80,7.50,7.20,67.00,1.10,0.10,76.00,590.00,2014.00
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.60,3.00,6.60,965.00,1.70,1.20,247.00,530.00,2014.00
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.90,5.90,7.40,17990.00,0.70,0.50,1888.00,2803.00,2014.00
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26.00,6.70,7.50,90.00,1.60,0.90,199.00,473.00,2014.00
2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.60,6.10,7.40,4429.00,2.00,1.60,243.00,550.00,2014.00
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,30.30,6.70,6.90,87.00,1.70,0.20,155.00,350.00,2014.00
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.70,6.90,6.80,85.00,1.60,0.20,82.00,206.00,2014.00
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.70,2.10,6.80,101.00,1.60,0.80,431.00,694.00,2014.00
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,28.20,2.50,6.90,83.00,1.90,0.30,353.00,656.00,2014.00
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.80,7.20,7.60,75.00,1.40,1.00,188.00,426.00,2014.00
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.30,3.70,7.70,32005.00,1.20,0.90,40000.00,60392.00,2014.00
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,29.20,6.10,7.60,281.00,1.20,0.70,384.00,718.00,2014.00
3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.60,6.70,7.60,106.00,0.50,2.50,44.00,71.00,2014.00
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,30.40,7.60,7.10,58.00,1.20,0.10,163.00,961.00,2014.00
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,25.50,1.90,7.70,2941.00,26.90,2.80,10875.00,37375.00,2014.00
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,25.10,7.40,7.00,35.00,0.10,0.00,165.00,409.00,2014.00
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.90,6.40,7.20,63.00,1.30,0.40,121.00,535.00,2014.00
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.80,5.40,6.70,65.00,1.10,0.30,60.00,144.00,2014.00
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.30,5.60,7.30,90.00,1.60,0.40,268.00,705.00,2014.00
2326,R KORAYAR AT KANJIKODE,KERALA,29.50,7.10,8.00,728.00,1.20,0.40,374.00,697.00,2014.00
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.40,5.90,6.80,13953.00,1.50,0.40,70.00,166.00,2014.00
2298,R KUPPAM AT RAYAROM,KERALA,26.90,7.40,6.90,57.00,1.10,0.30,70.00,159.00,2014.00
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,25.80,7.20,7.20,41.00,0.70,0.20,441.00,658.00,2014.00
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26.60,6.50,7.40,71.00,0.60,0.30,4192.00,7018.00,2014.00
2285,R MAMOM AT MAMOM BRIDGE,KERALA,25.30,6.80,7.10,81.00,0.80,0.00,389.00,1268.00,2014.00
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.20,6.80,6.90,68.00,1.70,0.10,449.00,660.00,2014.00
1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.50,6.60,7.00,70.00,1.40,0.10,550.00,822.00,2014.00
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.60,6.40,7.70,100.00,0.60,0.90,56.00,88.00,2014.00
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29.00,7.30,6.90,96.00,1.90,0.20,89.00,825.00,2014.00
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.50,6.80,6.60,49.00,0.50,0.40,1719.00,2950.00,2014.00
2304,R MOGRAL AT MOGRAL BR.,KERALA,30.00,5.60,7.20,24360.00,2.10,0.30,92.00,447.00,2014.00
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.80,6.90,6.80,59.00,0.60,0.50,1916.00,3375.00,2014.00
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.20,7.10,6.80,14410.00,1.80,0.10,65.00,468.00,2014.00
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,30.80,6.20,7.20,22757.00,1.50,0.10,98.00,542.00,2014.00
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.30,6.70,7.10,66.00,0.60,0.00,222.00,626.00,2014.00
2284,R NEYYAR AT ARUVIPURAM,KERALA,25.30,7.20,7.00,59.00,0.60,0.00,165.00,433.00,2014.00
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.80,6.00,7.60,120.00,1.30,1.10,212.00,523.00,2014.00
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.20,5.20,6.80,55.00,0.60,0.70,171.00,313.00,2014.00
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.10,4.80,6.80,86.00,0.70,0.80,208.00,332.00,2014.00
1565,"PAMBA DOWN, KERALA",KERALA,28.30,3.90,6.90,62.00,0.50,0.70,155.00,284.00,2014.00
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.10,5.00,6.90,3185.00,1.80,0.40,290.00,667.00,2014.00
18,"PERIYAR AT KALADY, KERALA",KERALA,27.70,7.00,7.00,36.00,1.10,0.20,276.00,541.00,2014.00
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28.00,6.30,6.90,64.00,1.20,0.30,381.00,815.00,2014.00
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.20,6.20,6.90,86.00,1.30,0.20,372.00,1007.00,2014.00
2334,RIVER PERIYAR AT PATHALAM,KERALA,28.00,5.70,6.80,2640.00,1.90,0.50,385.00,759.00,2014.00
2335,R PERIYAR AT KALAMASSERY,KERALA,28.10,5.70,6.90,53.00,3.10,0.40,574.00,1205.00,2014.00
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.10,6.60,7.10,2007.00,1.30,0.20,356.00,785.00,2014.00
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.10,6.60,7.00,46.00,1.30,0.30,228.00,472.00,2014.00
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.30,6.50,6.50,43.00,0.90,0.40,87.00,188.00,2014.00
2303,R PULLUR AT PULLUR BR.,KERALA,28.30,6.70,6.30,54.00,0.90,0.10,136.00,610.00,2014.00
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.10,4.30,7.20,113.00,1.80,0.40,188.00,796.00,2014.00
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.70,4.60,6.70,12561.00,1.50,0.60,72.00,171.00,2014.00
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.50,7.70,6.90,61.00,1.60,0.00,88.00,554.00,2014.00
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.60,5.80,6.50,61.00,1.00,0.40,70.00,151.00,2014.00
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31.00,4.50,6.90,1614.00,2.10,0.60,131.00,230.00,2014.00
2306,R UPPALA AT  UPPALA BR.,KERALA,30.50,6.90,7.20,20950.00,1.30,0.20,113.00,643.00,2014.00
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.80,6.60,7.00,14487.00,0.90,0.30,55.00,103.00,2014.00
1442,"VAMANAPURAM, KERALA",KERALA,25.30,6.90,7.50,54.00,0.60,0.00,319.00,1633.00,2014.00
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.90,5.50,7.60,569.00,1.30,0.90,18.00,141.00,2014.00
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.50,5.40,7.80,310.00,0.80,2.40,7.00,107.00,2014.00
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.90,7.10,7.80,516.00,0.70,0.50,2.00,1238.00,2014.00
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.50,6.90,8.00,505.00,0.90,0.70,2.00,1563.00,2014.00
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.10,7.30,7.30,109.00,2.40,3.40,18.00,65.00,2014.00
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.30,7.50,7.50,83.00,2.10,2.00,22.00,74.00,2014.00
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.10,6.40,7.20,102.00,1.00,0.00,137.00,1223.00,2014.00
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.40,6.50,7.10,92.00,1.00,0.00,155.00,1342.00,2014.00
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,24.70,7.70,7.90,232.00,1.30,0.80,30790.00,40500.00,2014.00
2424,BUDHABALANGA AT BALASORE D/S,ODISHA,24.40,7.50,7.80,519.00,2.10,0.70,38700.00,53556.00,2014.00
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,22.70,7.30,7.20,103.00,0.70,1.70,4871.00,13810.00,2014.00
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,24.80,7.40,7.90,196.00,0.70,0.60,5323.00,15213.00,2014.00
1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,24.00,7.40,7.80,244.00,1.90,1.00,20880.00,12473.00,2014.00
1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,22.80,7.50,8.00,243.00,1.70,0.90,8780.00,30319.00,2014.00
1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,26.80,7.20,8.00,296.00,1.50,0.70,1468.00,4314.00,2014.00
1456,"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA,27.40,6.60,7.80,25034.00,1.50,0.90,1671.00,4224.00,2014.00
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,25.30,7.50,7.90,194.00,1.00,1.00,2906.00,8559.00,2014.00
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA,27.10,7.40,7.90,170.00,0.80,0.90,4948.00,16709.00,2014.00
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,29.00,NAN,7.30,386.00,NAN,0.20,NAN,NAN,2014.00
2444,CORINGA RIVER,PONDICHERRY,25.00,5.90,7.90,21600.00,NAN,0.10,NAN,NAN,2014.00
2442,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.00,6.50,7.30,21600.00,NAN,0.10,NAN,NAN,2014.00
2443,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.00,6.50,7.70,26600.00,NAN,0.10,NAN,NAN,2014.00
2445,MAHE RIVER,PONDICHERRY,32.00,6.00,7.10,13000.00,NAN,0.40,NAN,NAN,2014.00
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,29.30,6.50,7.40,1063.00,2.00,0.60,177.00,374.00,2014.00
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,22.80,6.80,6.60,63.00,2.90,0.10,11.00,36.00,2014.00
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,24.50,6.60,6.40,101.00,2.50,0.20,13.00,41.00,2014.00
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,25.50,6.60,6.50,136.00,2.50,0.20,13.00,45.00,2014.00
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29.00,6.70,6.90,226.00,2.20,0.20,12.00,38.00,2014.00
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,23.80,6.70,6.30,72.00,2.70,0.20,9.00,32.00,2014.00
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,22.80,6.70,6.40,61.00,4.60,0.10,10.00,34.00,2014.00
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,29.00,6.60,7.20,1300.00,2.70,0.20,21.00,60.00,2014.00
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,29.00,6.70,7.00,461.00,2.50,0.10,17.00,51.00,2014.00
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,23.00,6.60,6.20,69.00,2.50,0.10,11.00,38.00,2014.00
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,29.00,6.80,6.90,241.00,2.50,0.10,14.00,48.00,2014.00
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,25.70,6.50,6.60,159.00,2.40,0.20,11.00,41.00,2014.00
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,25.70,6.60,6.70,170.00,2.50,0.20,10.00,34.00,2014.00
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,24.30,0.90,7.60,2039.00,104.50,0.90,272521616.00,511090873.00,2014.00
